Date,appeal_count,data_type,lower_ci,upper_ci,best_model,model_mae,model_rmse,model_r2,model_mape
2025-09-10,194.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-11,122.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-12,132.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-13,68.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-14,56.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-15,124.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-16,158.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-17,126.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-18,153.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-19,159.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-20,86.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-21,45.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-22,154.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-23,141.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-24,147.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-25,127.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-26,114.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-27,76.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-28,86.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-29,137.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-09-30,134.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-01,143.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-02,163.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-03,173.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-04,84.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-05,90.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-06,195.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-07,184.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-08,154.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-09,150.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-10,140.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-11,86.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-12,83.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-13,135.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-14,116.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-15,133.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-16,176.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-17,101.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-18,106.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-19,84.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-20,190.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-21,133.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-22,149.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-23,102.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-24,173.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-25,103.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
2025-10-26,91.0,Historical,,,Ensemble (LR+XGB),23.975,34.136,0.684,19.4
